DRIVER_ID,amin,amax,Nmonths,Gender,Age,ZIP,OdoStart,OdoEnd,DeltaOdo,DeltaDays,AnnualMileage,ClaimTot,ClaimFlag
10225,2013-03-07 00:00:00,2013-09-04 00:00:00,7,M,67,44054.0,41,5758,5717,181 days 00:00:00.000000000,11536.653314917126,,0
10226,2009-10-23 00:00:00,2009-11-23 00:00:00,2,F,39,44906.0,4240,5448,1208,31 days 00:00:00.000000000,14232.967741935483,,0
10227,2013-07-12 00:00:00,2013-08-21 00:00:00,2,F,50,43522.0,569,2028,1459,40 days 00:00:00.000000000,13322.493750000001,,0
10228,2012-12-08 00:00:00,2013-09-04 00:00:00,8,F,68,43228.0,22043,26979,4936,270 days 00:00:00.000000000,6677.311111111111,,0
10229,2009-09-12 00:00:00,2013-09-22 00:00:00,47,M,56,45458.0,1169,6521,5352,1471 days 00:00:00.000000000,1328.9041468388853,,0
10230,2011-10-02 00:00:00,2012-07-31 00:00:00,8,M,73,43232.0,29848,38590,8742,303 days 00:00:00.000000000,10538.00495049505,,0
10231,2011-09-08 00:00:00,2012-01-31 00:00:00,4,M,24,44129.0,1069,2013,944,145 days 00:00:00.000000000,2377.903448275862,,0
10232,2010-08-28 00:00:00,2012-09-08 00:00:00,25,M,52,45420.0,1244,13013,11769,742 days 00:00:00.000000000,5793.298180592992,,0
10233,2009-08-24 00:00:00,2012-06-12 00:00:00,33,M,67,44281.0,13924,54720,40796,1023 days 00:00:00.000000000,14565.727272727272,,0
10234,2011-06-10 00:00:00,2013-08-29 00:00:00,10,F,61,45013.0,23,43468,43445,811 days 00:00:00.000000000,19566.320900123304,,0
10235,2010-06-25 00:00:00,2013-08-31 00:00:00,26,M,51,44484.0,2441,37387,34946,1163 days 00:00:00.000000000,10975.087274290627,2719.4500000000003,1
10236,2009-11-10 00:00:00,2010-03-27 00:00:00,5,M,51,44484.0,19322,22714,3392,137 days 00:00:00.000000000,9043.2700729927,,0
10237,2010-05-23 00:00:00,2011-05-17 00:00:00,13,,110,44256.0,5329,16933,11604,359 days 00:00:00.000000000,11806.019498607242,,0
10238,2009-09-10 00:00:00,2013-08-31 00:00:00,47,M,69,44107.0,414,36827,36413,1451 days 00:00:00.000000000,9165.987767057202,619.39,1
10239,2011-03-24 00:00:00,2013-09-07 00:00:00,31,M,67,43701.0,9679,44823,35144,898 days 00:00:00.000000000,14294.371937639196,,0
10240,2009-11-19 00:00:00,2013-08-24 00:00:00,38,M,51,45710.0,1110,50462,49352,1374 days 00:00:00.000000000,13119.227074235809,,0
10241,2011-04-03 00:00:00,2011-09-30 00:00:00,6,M,65,44240.0,20896,25036,4140,180 days 00:00:00.000000000,8400.75,,0
10242,2011-05-26 00:00:00,2011-09-23 00:00:00,5,M,32,44128.0,68008,70756,2748,120 days 00:00:00.000000000,8364.225,,0
10243,2011-05-08 00:00:00,2013-08-24 00:00:00,27,F,68,45042.0,36145,54863,18718,839 days 00:00:00.000000000,8148.688319427891,54.19,1
10244,2013-08-26 00:00:00,2013-08-26 00:00:00,1,M,42,43081.0,687,687,0,0 days 00:00:00.000000000,,,0
10245,2011-05-07 00:00:00,2011-10-19 00:00:00,5,F,50,44095.0,613,3725,3112,165 days 00:00:00.000000000,6888.836363636364,,0
10246,2010-04-30 00:00:00,2010-04-30 00:00:00,1,M,67,45680.0,5023,5023,0,0 days 00:00:00.000000000,,,0
10247,2010-04-24 00:00:00,2013-09-05 00:00:00,40,M,54,44129.0,17771,72003,54232,1230 days 00:00:00.000000000,16104.258536585365,,0
10248,2010-04-10 00:00:00,2013-09-09 00:00:00,35,F,61,44136.0,5056,27141,22085,1248 days 00:00:00.000000000,6463.578725961538,,0
10249,2013-02-24 00:00:00,2013-08-24 00:00:00,7,M,57,44512.0,2409,19462,17053,181 days 00:00:00.000000000,34412.20027624309,,0
10250,2009-12-04 00:00:00,2013-09-05 00:00:00,38,M,70,44044.0,10879,23528,12649,1371 days 00:00:00.000000000,3369.8375273522975,1442.01,1
10251,2013-03-20 00:00:00,2013-04-19 00:00:00,2,M,74,43125.0,47806,49142,1336,30 days 00:00:00.000000000,16265.800000000001,,0
10252,2013-03-08 00:00:00,2013-09-04 00:00:00,7,M,76,43110.0,9561,15268,5707,180 days 00:00:00.000000000,11580.454166666666,,0
10253,2010-08-24 00:00:00,2011-03-22 00:00:00,8,M,44,44256.0,69557,83361,13804,210 days 00:00:00.000000000,24009.100000000002,,0
10254,2009-09-28 00:00:00,2011-08-27 00:00:00,22,M,74,43209.0,108,20685,20577,698 days 00:00:00.000000000,10767.549068767908,2078.78,1
10255,2011-06-15 00:00:00,2011-09-27 00:00:00,3,M,36,45420.0,396,4587,4191,104 days 00:00:00.000000000,14718.872596153846,,0
10256,2013-05-06 00:00:00,2013-09-16 00:00:00,4,M,44,44440.0,487,5476,4989,133 days 00:00:00.000000000,13700.994360902256,,0
10257,2011-02-11 00:00:00,2011-07-29 00:00:00,6,M,42,44440.0,278,3537,3259,168 days 00:00:00.000000000,7085.415178571428,,0
10258,2010-04-12 00:00:00,2011-01-27 00:00:00,10,M,34,45068.0,912,20724,19812,290 days 00:00:00.000000000,24952.872413793106,,0
10259,2013-07-15 00:00:00,2013-09-13 00:00:00,3,M,36,45647.0,41846,44519,2673,60 days 00:00:00.000000000,16271.8875,,0
10260,2011-11-18 00:00:00,2013-07-22 00:00:00,18,F,52,45320.0,830,22250,21420,612 days 00:00:00.000000000,12783.75,,0
10261,2013-05-13 00:00:00,2013-08-26 00:00:00,4,M,46,45335.0,18255,24722,6467,105 days 00:00:00.000000000,22495.92142857143,526.65,1
10262,2009-11-02 00:00:00,2012-09-17 00:00:00,29,M,42,45335.0,6801,22559,15758,1050 days 00:00:00.000000000,5481.532857142857,,0
10263,2013-06-28 00:00:00,2013-06-28 00:00:00,1,F,33,45426.0,93148,93148,0,0 days 00:00:00.000000000,,,0
10264,2012-01-07 00:00:00,2013-04-01 00:00:00,15,M,30,43215.0,40722,64037,23315,450 days 00:00:00.000000000,18924.00833333333,,0
10265,2011-05-29 00:00:00,2011-05-29 00:00:00,1,M,70,43537.0,67377,67377,0,0 days 00:00:00.000000000,,,0
10266,2010-02-23 00:00:00,2011-02-18 00:00:00,13,F,54,43147.0,17513,32552,15039,360 days 00:00:00.000000000,15258.31875,,0
10267,2010-01-21 00:00:00,2013-09-01 00:00:00,45,M,71,44212.0,29147,40486,11339,1319 days 00:00:00.000000000,3139.931576952237,,0
10268,2009-10-12 00:00:00,2011-11-01 00:00:00,24,M,54,44903.0,6843,16491,9648,750 days 00:00:00.000000000,4698.576,0.0,1
10269,2009-12-22 00:00:00,2011-06-13 00:00:00,19,M,78,44485.0,16936,32595,15659,538 days 00:00:00.000000000,10630.94749070632,,0
10270,2010-08-27 00:00:00,2010-08-27 00:00:00,1,M,70,45304.0,15819,15819,0,0 days 00:00:00.000000000,,754.96,1
10271,2010-08-24 00:00:00,2013-09-07 00:00:00,36,F,31,44677.0,12973,64680,51707,1110 days 00:00:00.000000000,17014.397972972973,,0
10272,2010-05-12 00:00:00,2011-05-22 00:00:00,13,M,52,45873.0,1071,24867,23796,375 days 00:00:00.000000000,23177.304000000004,260.48,1
10273,2011-06-27 00:00:00,2011-10-09 00:00:00,5,M,25,44314.0,1291,7724,6433,104 days 00:00:00.000000000,22592.81971153846,,0
10274,2009-11-05 00:00:00,2011-12-02 00:00:00,3,F,79,45458.0,4127,14095,9968,757 days 00:00:00.000000000,4809.5270805812415,,0
10275,2009-08-13 00:00:00,2013-08-23 00:00:00,47,M,69,44147.0,19511,45507,25996,1471 days 00:00:00.000000000,6454.819170632223,,0
10276,2009-12-01 00:00:00,2010-01-30 00:00:00,2,F,55,45424.0,23188,26042,2854,60 days 00:00:00.000000000,17373.725000000002,,0
10277,2010-05-26 00:00:00,2012-04-17 00:00:00,24,M,38,44515.0,41,7110,7069,692 days 00:00:00.000000000,3731.1448699421967,,0
10278,2010-05-25 00:00:00,2012-04-14 00:00:00,23,F,35,44314.0,3039,23236,20197,690 days 00:00:00.000000000,10691.23804347826,165.48,1
10279,2010-01-26 00:00:00,2013-08-06 00:00:00,42,,110,44128.0,24722,31510,6788,1288 days 00:00:00.000000000,1924.9355590062112,161.63,1
10280,2013-08-22 00:00:00,2013-09-21 00:00:00,2,F,51,44870.0,102,2659,2557,30 days 00:00:00.000000000,31131.475000000002,,0
10281,2011-12-29 00:00:00,2013-07-22 00:00:00,20,F,49,44870.0,22750,72553,49803,571 days 00:00:00.000000000,31857.348073555168,1376.1399999999999,1
